"Indicator","PUBLISH STATES","Year","WHO region","Countries, territories and areas","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","South-East Asia","Thailand","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Africa","Togo","Yes","","","","","",""
"National guidelines, policies or recommendations on the procurement of medical devices","Published","2013","Americas","Trinidad and Tobago","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Americas","Argentina","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Europe","Azerbaijan","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Americas","Bahamas","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Americas","Belize","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Americas","Costa Rica","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Africa","Cote d'Ivoire","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Europe","Croatia","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Europe","Cyprus","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Africa","Guinea-Bissau","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Americas","Guyana","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Americas","Honduras","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Europe","Hungary","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Western Pacific","Micronesia (Federated States of)","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Western Pacific","Mongolia","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Africa","Namibia","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Western Pacific","Nauru","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Europe","Serbia","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Africa","Seychelles","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Africa","Sierra Leone","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Western Pacific","Singapore","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Western Pacific","Vanuatu","No","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","Europe","Armenia","Yes","","","","","",""
"Availability of technical specifications of medical devices to support procurement or donations","Published","2013","South-East Asia","Bangladesh","Yes","","","","","",""
